mestsoort, stemsoort
tekenmateriaal, materiaalketen
kamerling, kalmering
taxibus, bustaxi
achterman, naamrecht
actiefolder, folderactie
achtertuin, ruitenacht
beukenhaag, haagbeuken
botenwagen, betonwagen
huisgemeente, gemeentehuis
tiende, editen
krapa, parka
elders, selder
lala, alla
windje, wijden
penthouse, espenhout
tensie, nestei, nietes
probleemjeugd, jeugdprobleem
laagjes, glaasje
kalanderen, kandelaren
respijt, ijspret
centiare, creatine
systeembeheer, beheersysteem
brandstofmotor, motorbrandstof
bomscherf, scherfbom
balieverkoop, verkoopbalie
negerdans, regendans
tijdvenster, venstertijd
langvoer, navolger, overlang
opgelopen, opploegen
vvd-leider, vvd-erelid
fistel, liefst
voetbalrel, voetballer
onderwijsvak, vakonderwijs
gebaand, bandage
portel, ploert
bereider, beerdier
noordoever, doorvoeren
emulgeren, menuregel
uitvragen, uitgraven
weidegras, grasweide
ruigte, geruit
drankpauze, pauzedrank
speelkaart, spreektaal
kaartkleur, kleurkaart
boeter, beroet
analfabeet, analfabete
dierenarts, eindarrest
t.n.v., n.v.t.
achtererven, verachteren
valeriana, valeriaan
inslijten, inlijsten
gorsland, rondslag
viskweek, kweekvis
fundamentalistisch-islamitisch, islamitisch-fundamentalistisch
tijdopname, opnametijd
bijvrouw, bouwvrij
glijden, gelijnd
geniza, inzage
crime, merci
dragline, landerig
kine, kien, knie
sproeistof, fietsspoor, spoorfiets
veerdienst, verdietsen, verdienste
nastreven, nestvaren, ravennest
boeker, reebok
beleidsdruk, bruidskleed
beheerkosten, kostenbeheer
honing, honnig
xliv, xlvi
ongedacht, nachtgoed
antislip, alpinist
persad, spread
verkeersrecht, rechtsverkeer
projectwerk, werkproject
dansorgel, onderslag
motorventilator, ventilatormotor
must, muts
paleren, parelen
ijsmaker, kasjmier
constructiestaal, staalconstructie
deelcollectie, collectiedeel
schoolteam, machteloos
tekenprogramma, ketenprogramma
akant, naakt
eigendom, moedigen
enharmonisch, harmonischen
alras, laars
kongeraal, kraalogen
sirene, sieren, seiner
magneetanker, ketenmanager
loopronde, doorlopen
cultuurparticipatie, participatiecultuur
paars, pasar
lesverplaatsing, leveringsplaats
nadir, drain, dinar
waardepunten, puntenwaarde
tolk-vertaler, vertaler-tolk
mergelkalk, kalkmergel
crediteren, redirecten
loverwerk, werkvloer
landenteam, lentemaand
animo, omina
relatief, reflatie
aselect, celesta
ces, sec
knipper, prikpen
geldtransfer, transfergeld
pensioengat, spionagenet
senaat, naaste
ruimtehotel, hotelruimte
libero, boiler
zandwoestijn, woestijnzand
oester, stereo
inzijpelen, zielenpijn
galoet, legato
restwaarde, sterwaarde
met, emt
reeg, geer
nokbalk, bolknak
rim, mri
ral, lar
thuiswerken, huisnetwerk
gewring, ringweg
vierdubbel, dubbelvier
pak, apk, kap
engelse, geselen
matsen, masten
duren, dreun
mannenmoed, mannenmode
basalten, albasten
concessieprijs, prijsconcessie
tuchtschool, schooltucht
dreigmail, driemalig
sterken, streken
tersel, steler
interne, interen, treinen
novene, oneven, noveen
petrichor, oprichter
vermorsen, versmoren
vooreind, voordien
wachtdag, dagwacht
41-jarig, 14-jarig
potnat, optant
archiefbeeld, beeldarchief
bisam, bamis
gepost, gotspe
dagslot, slotdag
kurk, kruk
barstwond, borstwand
ion, ino
gemeenschapsrecht, rechtsgemeenschap
brokkel, blokker
bordes, broeds
hoofdstreven, hoofdvenster
kel, lek, elk
ruimtebeeld, beeldruimte
bal, lab
doorlevering, veroordeling
meuren, murene
ballastwater, waterballast
sten, sent, nest
onderzoeksafdeling, afdelingsonderzoek
groepsverzekering, verzekeringsgroep
eremis, remise
kopten, pekton
kat, tak
centrummarkt, marktcentrum
bekeuring, gebruiken
cultuurwater, watercultuur
gabardine, beaarding
bistro, bosrit
greinen, grienen, negerin
kip, pik
stof, soft
uil, lui
linkeroog, knolgroei
tune, neut
iva, via, avi
codekaart, kaartcode
slagzee, zeeslag
menen, nemen
aangelande, aangeladen
zeerot, zoeter
randstad, radstand
spatader, aderspat
kunstbouw, bouwkunst
sterfkamer, marktsfeer
bunkerolie, oliebunker
presentator, paternoster
blekerij, ereblijk
vergraven, vervanger
zamelen, mazelen
zeekant, azteken
sitar, trias, tiras
motorkap, motorpak
tolvrij, vrijlot
beheerscherm, beschermheer
schroten, schorten
vliegkunst, kunstvlieg
kalenderjaar, jaarkalender
lokaaltrein, interlokaal
remigratie, armetierig
adi, dia
acteren, cateren
bas, abs
belwinkel, winkelbel
trekbeest, breektest
volgieten, voeteling
okra, orka
kussenstoel, stoelkussen
schriftteken, tekenschrift
filmhit, hitfilm
briefcontact, contactbrief
vertalen, relevant, verlaten
klaroenstoot, kantoorstoel
klam, kalm
trijs, rijst
sloeber, lesboer
bakkersvet, verstekbak
zonder, drozen
waterbloem, tarwebloem
tweedelig, tweeledig
bladwerk, werkblad
nag, ang
ontluizing, ontzuiling
regiopolitie, politieregio
toerbus, bustoer
sela, sale
kromstaf, mastkorf
standbeen, beenstand
stiefelen, leenfiets
zwart-wit, wit-zwart
voorbouw, bouwvoor
gamma, magma
filter, lifter
agiel, galei
negatief, afgieten
muziekconcert, concertmuziek
ontkurken, ontrukken
cab, abc
wandelweg, wegwandel
reilen, lieren
orgaan, ongaar, angora
mitsen, misten, menist, minste, smient
asman, naams
kas, aks, sak, ska
lier, lire
nabloeden, onbeladen
83-jarig, 38-jarig
koffiemaker, koffiekamer
diernaam, marinade
sloepen, spoelen
verfpoeder, poederverf
mores, morse
massagestoel, stoelmassage
bedelven, bevelend, beneveld
zijdeglans, langszijde
overigens, snoeverig
partitie, pariteit
zakgeld, geldzak
snoeper, poseren
cultuurmaker, cultuurkamer
halo, hola
wan, naw, anw
teentje, etentje
laserdiode, diodelaser
doorrennen, ordonneren
krielhaan, hinkelaar
34-jarige, 43-jarige
als, sla, las
belijnen, bijlenen
strandrecreatie, recreatiestrand
bakeren, breaken
mangel, galmen
peilstation, potentialis
kartelen, terlenka, rekenlat, klateren
hamerteen, herenteam
kuipbad, badkuip
blaas, balsa
leegstaand, aangesteld
paartje, praatje, apartje
geleding, ingelegd, diggelen
slobbe, lobbes
waarheen, weerhaan
master, stream
chocoladen, chalcedoon
steppegras, grassteppe
muziekkunst, kunstmuziek
sint, snit
aars, sara, raas
schermbloem, bloemscherm
regenmoesson, moessonregen
denigreren, redenering
gipsen, gespin, gispen
bomenrand, dobermann
speeltoren, steenloper
kroonlid, likdoorn
levenslang, slangenvel
poelier, pelorie
rance, racen
ongegist, goesting
celstraf, strafcel
krip, prik
kuiper, pikeur
mozaïekvloer, vloermozaïek
randzone, zonnerad
uilenkop, opluiken
legerorder, orderregel
meststof, smetstof
nadering, eindrang, indragen
rectificatie, certificatie
elzen, lezen, lenze
ionisch, chinois
jihad, hadji
adult, talud
reling, lering
31-jarige, 13-jarige
zoldering, grondzeil
sportcompetitie, competitiesport
wereldomroep, omroepwereld
citerne, citeren
kerkdienst, kerstekind
waterdorp, dropwater
zeiltocht, lichtzoet
debuutalbum, albumdebuut
hoogbegaafd, hoofdbagage
kiezer, zeiker, keizer
studievak, vakstudie
basten, absent
ma, am
cabaretier, citeerbaar
signaalhoorn, hoornsignaal
koeteren, toekeren
nestbouw, onbewust
architectuurmuseum, museumarchitectuur
sieraad, aasdier
stageadres, eerstdaags
groepsreis, progressie
nefriet, frieten
ongestraft, frontstage
belastingpost, betalingsstop
mak, kam
kamerfractie, fractiekamer
omboorden, doorbomen
up, pu
put, utp
sorteren, restoren
xxiv, xxvi
gelag, gagel
vertaling, verlating
dopeling, opdeling
balkanker, ankerbalk
manta, amant
beenvlies, belevenis
bierpens, berispen
stortbad, startbod
geiten, gieten
schotelantenne, antenneschotel
regeldag, gelagerd
kerkpad, pakkerd
schaden, schande
tennisraket, krantensite
betonstaal, staalbeton
revers, server
gunste, gutsen
nederlands-duits, duits-nederlands
boulanger, loungebar
analist, stilaan
aow'er, wao'er
donorzaad, zaaddonor
glarieogen, algengroei
misraden, reismand
vergisten, gevernist
recitando, donatrice
normgevend, onvermengd
branding, ringband
nieuwsmedia, medianieuws
doopwater, waterdoop
ave, eva
appelgroen, galopperen
inwerktijd, winterdijk
sluimer, relmuis
bekorting, kortbenig
pook, koop
lommerd, drommel
92-jarige, 29-jarige
schele, scheel
nabi, iban
lug, gul
leuteren, reutelen
beloven, bevolen
periodebouw, bouwperiode
koeiendrek, koekendrie
bewaargeving, vaarbeweging
plaaster, plaatser
kleren, kernel, kelner
zondigen, ongezind
pistool, pitloos
oprecht, rechtop
rijksdag, grasdijk
ondier, eirond
welk, kwel
dierenhotel, holtedieren
bedrijfsopleiding, opleidingsbedrijf
brandstofolie, oliebrandstof
taalstam, stamtaal
stap, pats, spat, taps
overstroming, roestvorming
feestvreugde, vreugdefeest
dichtregel, gilderecht
beenspalk, speelbank
uitgroeven, eurovignet, overtuigen
lekkage, gekakel
repelaar, perelaar
telomerase, elastomeer
trio, roti, tori
leve, vele, veel
olympiade, polyamide
sample, lesmap
spinrag, sparing
dertien, intrede
lap, pal, alp
schadezaak, zaakschade
waterleven, waternevel
onbehuisde, behoudenis
gelok, kogel
verwijzen, everzwijn
kadertekst, tekstkader
cultuurmarkt, marktcultuur
ompaling, opmaling
voedselreserve, reservevoedsel
radiopost, radiospot
aarsvin, varinas
modderboel, droombeeld
redactiebureau, bureauredactie
krats, karst, strak
bef, feb
vliegtuigramp, rampvliegtuig
eenheidsgewicht, gewichtseenheid
som, mos
theorie, hiertoe
rul, url
schrijfles, schrijfsel
clashen, schalen
cultuurshock, cultuurschok
knevel, nekvel, kleven, venkel
azijnhout, houtazijn
wereldburger, burgerwereld
contractbeheer, beheercontract
volgaarne, vaalgroen
septiem, septime
stegel, gestel
werklijn, lijnwerk
systeembouw, bouwsysteem
iep, epi
sector, croste, cortes, escort
wegspelen, wegslepen
beest, beste
sluik, kluis
leren, lener
overnemen, vernoemen
mariaal, malaria
kostenkant, tankkosten
overwegen, wegvoeren
verroest, stroever
toeslagpartner, partnertoeslag
attische, chatsite
95-jarige, 59-jarige
glasrand, grasland
lieven, veilen, vleien
mastel, smalte
elkander, kalender
zadelmaker, zadelkamer
credit, direct
gnostiek, knoestig
oerknal, klaroen, koralen
tante, atten
pardoes, rapsode
oksaal, lokaas
kruizen, reukzin
wereldbank, bankwereld
spruit, purist
rakkertje, krakertje
inladen, indalen
europese, europees
censeren, screenen
pakketreis, reispakket
dra, dar, rad
hoofdregel, legerhoofd, hoofdleger
delging, liggend, gelding
zeel, ezel
uitkletsen, kunstelite, elitekunst
systeembelasting, belastingsysteem, betalingssysteem
zaaibed, bezaaid
lor, rol
timpen, piment
plane, panel, palen
tui, uit
romein, merino
houtstapel, stapelhout
waterkamer, watermaker
koning-stadhouder, stadhouder-koning
beleidsvorming, vormingsbeleid
ruimte, muiter
raadselwoord, woordraadsel
methodeleer, leermethode
streeploos, speelsoort
beeldroman, ombladeren
kilt, klit
rimmen, nimmer
keren, reken
ontloken, ontkolen
strobed, bedstro
ruimtenood, uitmoorden
sterrenteam, steenmarter
koperwiek, werkkopie
rivaal, viraal
reinette, retentie, eterniet
top, pot
analysesysteem, systeemanalyse
rijke, ijker
nagelplooi, planologie
zwieren, weerzin
mals, smal
ondergraven, ondervragen, vragenronde
risicobasis, basisrisico
hoe, oeh
gros, gors
resident, dienster
geelbruin, bruingeel
meid, demi, idem
programcollege, collegeprogram
reservekader, verkeersader
pooling, looping
onvree, roeven, voeren
kadering, ringkade
drukveer, veerdruk
iemand, medina
spondee, spoeden
halveren, verhalen
tenzij, zijnet
salto, stola
