sneeuwjacht, jachtsneeuw
verteerbaar, verbeteraar
snuisteren, ertussenin
pretor, report
roepie, poeier
sagen, agens
hypotheekkrediet, krediethypotheek
trammuseum, museumtram
stiel, sliet, steil
laborant, brontaal
klankgenerator, garnalenkroket
werkrooster, roosterwerk
leb, bel
plee, leep, peel
ongeld, dongel, gondel, golden
angst, stang
kitrest, tikster
leg, gel
geveltop, topgevel
feestoffer, offerfeest
horige, hoerig
kier, riek
beraden, bedaren
aanvanger, aangraven, aanvragen
oplegwerk, werkploeg, ploegwerk
vermoeden, verdoemen
rachel, lacher
golfbroek, bergkloof
teem, meet
beweeglijkheid, bewegelijkheid
toonkamer, atoomkern
bevedering, bevredigen
guitenstreek, uitgestreken
recordmaand, maandrecord
sologitaar, gitaarsolo
vervalsen, verslaven
bagageruim, ruimbagage
spookhuis, huisspook
dwangsysteem, systeemdwang
houtgravure, houtgraveur
overlegklimaat, klimaatoverleg
wreking, werking
regent, tenger, gerent, tergen
boonstaak, staakboon
lyra, aryl
vogelhuis, huisvogel
editor, triode
verlegde, veergeld, vergeeld
commissieagenda, agendacommissie
koemelk, melkkoe
landbouwexport, exportlandbouw
onderzoekschool, schoolonderzoek
reed, rede
wachthuis, huiswacht
boekgeschiedenis, geschiedenisboek
adviescollege, collegeadvies
simpelaar, mispelaar
pils, slip, spil
schisma, samisch
staat, taats
actieverkoop, verkoopactie
gebalk, beklag
moveren, vomeren
kneden, denken
basisbijdrage, bijdragebasis
borstel, bolster
studiecultuur, cultuurstudie
loonarbeid, booreiland
stilering, ritseling
leaseauto, autolease
sesam, assem
kopbaken, opbakken
voetbalprof, profvoetbal
kesp, spek
watersnip, waterspin
kantoorunit, kantoortuin
rauzen, azuren
cilinderdruk, drukcilinder
teringbende, rentebeding
esprit, spriet
fop, pof
ondereen, neerdoen
kaartinformatie, informatiekaart
pellengoed, leeglopend
gildebrieven, beverleiding
studiemodel, modelstudie
poema, oempa
duiktoren, ontduiker
rentecoupon, couponrente
haarborstel, borstelhaar
roemen, moreen, noemer, morene, moeren
verwijl, vrijwel
bodemerij, moederbij
rapen, paren
geleerd, eregeld
gegevensbank, bankgegevens
zevenenvijftig, vijfenzeventig
bonnet, bonten
oliezaad, zaadolie
fusieplan, afsluipen
blauwvos, vlasbouw
doordraven, donorvader
wijngoed, ongewijd
loopduur, duurloop
boothuis, huisboot
tijdrit, rittijd
rabbelen, labberen
oervolk, lokvoer
gelieerd, geleider
bierfles, lesbrief
achtervork, krachtvoer
keilen, kielen, kleine, kleien
ordening, indrogen
dienares, eierdans
rafelig, fragiel
jaardienst, dienstjaar
lupine, puilen
alarmreset, martelares
graat, traag
vleespan, veenplas
studieloon, loonstudie, uitloodsen
autotransport, transportauto
lorejas, jaloers
avondschemer, schemeravond
hoofdlocatie, locatiehoofd
vijvertuin, tuinvijver
knolvenkel, venkelknol
bardame, beraamd
bouwer, berouw
triatlete, triatleet
tamarisk, simkaart
spionnen, inponsen
omgraven, mangrove
plooisel, peilloos
geldreserve, vredesleger
klauwer, walkure, krauwel
poer, erop, roep
subvragen, vragenbus
centrumgemeente, gemeentecentrum
chinese, scheien, chinees
belastinginkomsten, inkomstenbelasting
grondpacht, pachtgrond
reclamebeeld, beeldreclame
logger, gorgel
rentree, terneer
zoutberg, bergzout
rekkelijk, kerkelijk
laten, talen
broeder, beroerd
feniks, fiksen
potgeld, geldpot
civiel-militair, militair-civiel
ik, ki
neusdop, dopneus
jaarverslag, verslagjaar
nova, navo
glasproductie, productieslag
voetbalwereld, wereldvoetbal
tesla, salet, laste
naturisme, antiserum
topatleet, topatlete
revelatie, relevatie
geut, teug
raptrio, airport
levendbarend, verbanddelen
tref, fret
gulp, plug
gidsrol, slordig
constructievloer, vloerconstructie
rekker, kerker
nootmuskaat, muskaatnoot
glaspapier, papierslag
logo, loog
gebruikstijd, tijdsgebruik
bedelmonnik, bloemenkind
brokkelen, blokkeren
stoot, toost
tsarisme, semiarts
bieden, beiden
zetter, terzet
tijdverlies, verliestijd
zero, roze
telspel, pellets
kwee, week
mambo, bomma
bedrijfsingenieur, ingenieursbedrijf
berekend, bedenker
kafir, fakir
afkalken, aflakken
overdoen, overdone
genrefilm, filmgenre
tracen, trance, carnet, centra, nectar
serail, relais
avondnevel, avondleven
metrobaan, ramboetan, ontembaar
rectoraat, retroacta
zemelaar, leerzaam
stonde, stoned
boter, boert
onflatteus, foutenlast
opgloeien, penologie
giebelen, beliegen
rechtte, terecht
kit, tik
kamertype, typekamer
radicaal-links, links-radicaal
feilloos, fileloos
zaagraam, raamzaag
pos, sop
zandzee, zeezand
communie, meconium
spuitbeton, buitenpost
achterlast, rechtstaal, achterstal
sfeermuziek, muzieksfeer
monade, nomade
instapcamera, campertiaans
persianer, aspireren
dril, rild
netwerkcommunicatie, communicatienetwerk
bosneger, regenbos
lade, deal, adel
witgrijs, grijswit
bekeurde, eedbreuk
selderijblad, bladselderij
ellens, sellen
kunstreis, sierkunst
ooglaser, argeloos
schoenhoorn, hoornschoen
59-jarig, 95-jarig
visdag, vadsig
omzetpremie, premieomzet
gangwerk, werkgang
beleidsverandering, veranderingsbeleid
wasbeurt, waterbus
inleveren, vernielen
doelbereik, liederboek
inkomgeld, omkleding
kennisklimaat, klimaatkennis
sportbad, spatbord
donorsperma, spermadonor
organisme, orangisme
insolied, insolide
beheerconcessie, concessiebeheer
kraanschip, knipschaar
grondregel, grondleger
weideland, dalweiden
belial, labiel
gelen, engel, legen
beroepsleger, beroepsregel
wingebied, beweiding
rob, orb
atelierwerk, werkrelatie, werkatelier
staal, atlas
besturing, berusting
veren, reven, erven
dienstwerk, windstreek
meun, menu
kringloop, poolkring
vaderlandse, levensdraad
bedelaar, deelbaar
praktijkschool, schoolpraktijk
geneeslijk, geneselijk
romeins, merinos
invoerdocument, documentinvoer
debatpartij, partijdebat
73-jarig, 37-jarig
moren, enorm, romen
graveren, vergaren
rinkelen, kelnerin
discussielijst, discussiestijl
gebiedsbestuur, bestuursgebied
mes, sem
balsport, borstlap
kommer, kromme
trad, dart
veiligheid, lievigheid
bestekla, steekbal
vendelen, levenden
loongroep, groenloop, groenpool
bloedeigen, onbegeleid
slablad, bladsla
uitbuilen, buitenlui
koolzuur, zuurkool
deel, leed, lede, edel
systeemmodel, modelsysteem
boort, robot
uilen, luien
kindermoord, kinderdroom
tips, stip, spit
tussenbedrijf, bedrijfssteun
varen, raven, ervan
kerkrat, trekkar
valk, vlak
opkappen, papenkop
centime, centiem
kegelas, askegel
tafelversiering, leveringstarief
kruisweg, wegkruis
methodestrijd, strijdmethode
cultuuronderwijs, onderwijscultuur
teellaag, eeltlaag
contractwerk, werkcontract
wandelkaart, klantwaarde
hartendrie, dierenhart
veeweide, weidevee
haarkrul, krulhaar
ende, eend, eden, deen
onderwijstaal, taalonderwijs
huisbel, belhuis
sportteam, teamsport
overladen, oeverland
genster, gersten
hu, uh
struikheide, heidestruik
onveilig, vloeiing
bewijsnummer, nummerbewijs
sic, cis
bruto, turbo
brandweerveld, wereldverband
kushand, handkus
gewelfboog, booggewelf
postpakket, pakketpost
gpu, gup
buitenlust, uitblutsen
steenrots, rotssteen
platen, plante
epsilon, sinopel
valluik, valkuil
manchet, matchen
team, mate
subsidieproject, projectsubsidie
spirocheet, opschieter
glasdeur, slagdeur
onbekleed, ledenboek
behartigenswaard, behartenswaardig
taarts, staart, straat
reservevaluta, valutareserve
gronddeel, onderlegd
wijngilde, wijdeling
kostenfactor, factorkosten
recreatiewater, waterrecreatie
kortte, tekort, kotter
rafelen, afleren
titelcatalogus, catalogustitel
vrekachtig, vakgericht
roomboter, boterroom
belastingmiddel, betalingsmiddel
productiestroom, stroomproductie
keel, leek, elke
doordrongen, doorgronden
eelt, leet
hongerland, landhonger
marktaanbod, aanbodmarkt
moordopdracht, droomopdracht
orni, nori
grenen, nengre
68-jarig, 86-jarig
wurmen, murwen
gerei, regie
steenkoraal, koraalsteen
triage, gratie
filosofiegeschiedenis, geschiedenisfilosofie
melk, klem
kerstwonder, wondersterk
65-jarige, 56-jarige
tanken, kanten
koemest, mestkoe
strelen, slenter
angel, nagel, lagen, lange
ontkrachten, kantonrecht
magie, image
huiswijn, wijnhuis
bodo, bood
bronwater, waterbron
kerstdrukte, druksterkte
deugen, dengue
renteverschil, vensterrichel
onderdijk, dodenrijk
ingaan, angina
stiksel, leskist
dessin, dissen
vinder, vriend
fase, safe
milieucentrum, centrummilieu
kunstfoto, fotokunst
zwengel, zwelgen
bretons, borsten
schilderkunst, kunstschilder
kirsch, schrik
flab, blaf
luchtblaas, blaaslucht
veenmoeras, moerasveen
oreren, roeren
sloep, spoel
huurmarkt, markthuur
eid, die, edi, ide, dei
niet, tien
informatiestop, informatiepost
dorpskrant, sportdrank
getalsverhouding, verhoudingsgetal
stroomop- en stroomafwaarts, stroomaf- en stroomopwaarts
gepak, gekap
kabots, boskat
crossfietser, fietscrosser
zaklopen, klapzoen
lin, nil
herstelschade, schadeherstel
braadoven, daarboven
vleesstier, setverlies
treinspoor, spoortrein
stopdatum, postdatum
wegstormen, wegstromen
ondiepe, deponie
arg, rag
ontbijtbuffet, buffetontbijt
soloviool, vioolsolo
vn, nv
werkuur, uurwerk
satellietnavigatie, navigatiesatelliet
siervis, visreis
scheepvaartlijn, lijnscheepvaart
renen, neren
arbeidstraining, trainingsarbeid
teleur, leuter, reutel
twee, weet
wekeling, gewinkel
dienstwapen, wapendienst
beleidsontwikkeling, ontwikkelingsbeleid
breeduit, debiteur
schrede, schreed
instromen, instormen
controlekaart, kaartcontrole
poppenkamer, poppenmaker
sawa, waas
wijnstreek, streekwijn
fietsvakantie, vakantiefiets
lip, pil
personeelsbeheer, beheerspersoneel
forumdiscussie, discussieforum
waternatuur, natuurwater
etuis, suite
navel, laven
spelmaker, spelkamer
tap, pat
lokeend, knoedel
repliek, perikel
lenswater, waterlens
astma, maats
afsplinteren, fietsplanner
kernreactor, reactorkern
overerving, verovering, vervoering
roddelen, lodderen
roosteroven, ovenrooster
ragen, range, garen
dakleer, kardeel
deken, denke
tio, ito
betalingsvorm, belastingvorm
genies, nieges
kaden, daken
geplan, plagen
standaardloon, loonstandaard
hoofdstudie, studiehoofd
kabelnota, klotebaan
slogan, alsnog
motorvliegtuig, vliegtuigmotor
olim, limo
coveralbum, albumcover
kinderstem, dienstmerk
amuse, musea
roe, oer
natten, tenant
netwerkdeel, deelnetwerk
eider, ieder
verkoopcontract, contractverkoop
ladderwagen, wagenladder
stuiter, uiterst
neigen, engine, geinen, enigen
financieel-economisch, economisch-financieel
kut, tuk
verliesjaar, jaarverlies
kint, inkt
notulist, slottuin
vriesnacht, revanchist
open, poen
boerderijijs, ijsboerderij
motorcircuit, circuitmotor
dansplaat, paalstand
brandtoren, torenbrand
nieter, rieten, tiener, tieren, intree
intervaltijd, tijdinterval
opkomst, stomkop
montageset, stamgenote
handwerkkunst, kunsthandwerk
beerton, boteren, boerten, bretoen
stammoeder, moederstam
snuitkever, verstuiken
dagwerk, werkdag
woordbegin, beginwoord, bewoording
bosnegerdorp, beroepsgrond
voerstek, overstek
beier, eiber
netel, lente, telen
maandrente, mandateren
gedaver, gevader
el, le
kinken, nikken
shelter, herstel
droesem, moeders
vakantiewerk, werkvakantie
opstormen, opstromen
kant, tank
onverdacht, ondervacht
boekblok, blokboek
roostervloer, vloerrooster
bijvorm, bomvrij
gatlikken, takkeling
zorgpremie, zomergriep
werkloos, solowerk
bars, bras
vaderhuis, huisvader
kalmoes, lakmoes
dienstauto, autodienst
vliering, vierling
systeemdiagnose, diagnosesysteem
vertragingstijd, tijdsvertraging
prijsindicatie, indicatieprijs
marien, marine, manier
goedkoop, koopgoed
schokeffect, shockeffect
driebenig, bereiding
opvangdag, dagopvang
zakenbankier, kraakbenzine
oremus, remous
cantor, contra
grenszone, zonegrens
medegaan, meegaand
onvrede, verdoen
traphal, hartlap
zandfilter, filterzand
praktijkexamen, examenpraktijk
prijsreductie, reductieprijs
presentatieduo, duopresentatie
regioplan, groeiplan
periodeverslag, verslagperiode
spideren, spreiden
klapbes, bakspel
hardglas, glashard
bridgen, beringd
aarzelen, lezenaar
emir, mier, riem
voordelig, volgroeid
doormelken, moederknol
wolfsmelk, wolfsklem
evaluatieproces, procesevaluatie
vogelkooi, kooivogel
testserie, sestertie
kitsen, kisten
noordelijk, onordelijk
tok, okt, kot
bewener, beweren
papierafval, afvalpapier
mijner, rijmen
lijststem, stemlijst
debiel, beleid
nekwervel, werkleven, verwelken
verachtering, achtervering
modelgegevens, gegevensmodel
maatkleding, kledingmaat
vernooi, renvooi
giering, greinig
incrementeel, incrementele
schutter, utrechts
boerengrond, doorbrengen
viseter, vereist, serviet
titelen, inteelt
ontzeilen, ontzielen
fles, fels
bandtransport, transportband
daags, asdag
gitaarles, legataris
rippen, nipper
morseteken, meerkosten
enig, gein
flop, plof
tussenhandel, handelssteun
spektakel, lespakket
dakvloer, loverdak
spelt, stelp
gelaarsd, slagader
crisp, scrip
delver, drevel
scan, cans
dierenleven, vierendelen
speelpark, kersappel
ligbad, bladig
filmklimaat, klimaatfilm
bouwleges, lesgebouw
pushen, hupsen
baalkatoen, katoenbaal
doorslepen, doorspelen
ritualist, titularis
ruiken, kruien
gemeentemodel, modelgemeente
meikrans, nakermis
tarweveld, waterveld
poep, pope
gemeentedeel, deelgemeente
afzetten, afzetnet
verseren, serveren
kanteel, takelen, tenakel
zeedienst, zestiende
vanhier, hiervan
encoder, doceren, coderen
motoras, matroos
vezelvlas, vlasvezel
aanstormen, aanstromen
bacon, banco
raak, arak, kaar
alarmkast, kraamstal
vloersysteem, systeemvloer
reservekapitaal, kapitaalreserve
zinvol, volzin
egel, leeg, glee, geel
arbeidstempo, ambtsperiode
systeemherstel, herstelsysteem
vreesachtig, vegetarisch
kastenwand, kastwanden
pole, poel, loep
partijmacht, matchpartij
mestplan, smeltpan
bankgiro, girobank
dienstencentra, transcendentie
macht, match
bloed, blode
boeleren, beloeren
opgraven, opvragen
toneeltekst, teksttoneel
verwerking, vingerwerk
aardslang, daarlangs
take, teak, akte
basnoot, bastoon
topo, poot
kleurmuis, muiskleur
kratsen, knaster
radiostem, damestrio
negligeren, neerliggen
wouter, touwer
tepel, pleet
waterdruk, drukwater
beleidskant, insteekblad, stankbeleid
short, horst
eerst, teers, reset, trees, etser, ester
bepruiken, bekruipen
venster, sterven, streven
deelmarkt, marktdeel
jat, tja
voorsteken, voerkosten, voortekens
stoorniveau, soortniveau
regelnummer, legernummer
tutu, tuut
pozen, zopen
theologie, ethologie
boorkern, kernboor
vliegden, vliegend, levendig
radiokast, radiotaks
khan, ankh, hank
boud, budo
jaarlijst, jaarstijl
kloosterslot, slotklooster
rechtsbijstand, bijstandsrecht
urt, rut
erudiet, editeur
gekkin, geknik
mokeren, omkeren
engelin, eenling, lenigen
huurfiets, fietshuur
huisschilder, schilderhuis
betonstort, stortbeton
ruimtesonde, moestuinder
stuitbeen, buitenste
kloet, loket, klote
werkdruk, drukwerk
maiskorrel, korrelmais
stervende, versteend
dada, daad
oervorm, voorrem
voorttelen, verteltoon
mediabestel, beleidsteam
uk, ku
gerookt, trekoog
bruikleen, berenkuil
beursgeld, geldbeurs
rockjazz, jazzrock
maidentrip, printmedia
pretogen, ongerept
op, po
lut, tul
pierlala, rapaille
karma, kraam
kuist, stuik
poetser, erepost
telegrafie, tafelgerei
pantserglas, grensplaats
serie, risee, eiser, ierse
verdolen, verloden
struikeling, kluistering
ginder, griend
katholiseren, lastenkohier
drukletter, letterdruk
slagveld, veldslag
blokkering, brokkeling
plafondprijs, prijsplafond
pisvlek, visplek
logeren, orgelen
computermaker, computerkamer
betalingsplan, belastingplan
kerstlicht, lichtsterk
tabulator, turbotaal
stopnaald, stolpnaad
beenpoeder, bepoederen
erf, ref
ringen, nering
pasgeld, speldag
router, retour
bekladder, bladerdek
tablet, battle
raar, rara
stopwatch, wachtpost
raken, anker, karen
manie, anime, amine
jaarbalans, balansjaar
autosloop, sloopauto
feston, soften
slaapstand, dansplaats
tekengerei, ketenregie
biet, ebit
stukken, nekstuk
dpi, dip
bemest, besmet
bespeling, beginspel
voetbaltop, topvoetbal
patch, pacht
sterkte, ketters
pezig, zepig
testament, statement
intrusie, siertuin
genadeslag, gadeslagen
sierpot, riposte
eender, deerne
ordegrootte, grootteorde
loding, doling
roodzijden, noordzijde, donorzijde
azteek, zeekat
laps, slap, plas
muziektheater, theatermuziek
weerglas, weerslag
starre, terras, arrest, raster
verkoopcatalogus, catalogusverkoop
kringwerk, werkkring
levensreis, vissenleer
tekstmodel, modeltekst
autopers, persauto
ruis, suri
lijdelijk, ijdellijk
ria, rai, air
parool, oorlap
tegenstoot, ongetoetst
pareo, opera
eroderen, ereronde
rentebank, bankrente
gebroddel, drogbeeld
handwerken, handenwerk, werkhanden
actiemarketing, marketingactie
eenmotorig, goniometer
consumptiewater, waterconsumptie
scherptediepte, dieptescherpte
moordproces, droomproces
groenblauw, blauwgroen
belet, betel
tier, riet, rite
servo, verso
wieden, weiden
bidsnoer, seinbord, bisronde
floten, teflon
winkeldag, dagwinkel
busnet, butsen
verkazen, verzaken
dienstbus, busdienst
plastiek, pieklast
muziekblad, bladmuziek
gefemel, gefleem
verte, veter
ruizen, reuzin
blanke, blaken, balken
selderieknol, knolselderie
toneelwereld, wereldtoneel
valsaard, vlasaard
stopster, spotster, restpost
bereisd, bereids
er, re
muziekhuis, huismuziek
munster, sternum
themajaar, jaarthema
gedram, gearmd
soldeertin, tinsoldeer
vakantieschool, schoolvakantie
roes, eros
besteding, bestendig
weerkundig, wiegendruk
sleets, steels
fust, stuf
flinterig, filtering
paleis, slapie
culture, lectuur
uitbroedsel, turbodiesel
gasalarm, glasraam
ruiker, kruier
12-jarige, 21-jarige
topless, stopsel
venter, vreten
tas, ast
staven, vasten
siersteen, interesse
toot, toto
zenit, inzet
winkelbuurt, buurtwinkel
gemeenschapsleven, levensgemeenschap
inlaatlucht, luchtinlaat
modelwereld, wereldmodel
terreinwerk, werkterrein
presens, pressen
gekrenktheid, etherdekking
ov, vo
onbedreven, verbondene
genet, engte, tegen, tenge
schreven, scherven
vroed, dover
topplaats, laptoptas
daalsnelheid, laadsnelheid
zaken, kazen
bat, tab, abt, atb
mopperig, gierpomp
afdolen, afloden
pakketsoftware, softwarepakket
raketbal, belkaart
volgen, golven, vlogen
autoreis, reisauto
looproute, poolroute
vergeling, verliggen
veldkorfbal, korfbalveld
laborante, ontelbaar
uitlaatgas, gasuitlaat
klauteraar, reukaltaar
verleiden, dierenvel
periode, eierdop
sierkunstenaar, kaarsensnuiter
kniepees, pekinees
raga, gaar
spoorbaan, pornobaas
vermoedelijk, verdoemelijk
middenkoers, moederskind
legeren, regelen
hasj, sjah
folievijver, vijverfolie
zindeel, deelzin
knoesterig, koestering
loonwerk, werkloon
boekenkast, kabotseken
deelproject, projectdeel
krol, lork
sacoche, coaches
hotsen, hosten
jeugdschool, schooljeugd
race, acre, crea
knipblad, blindkap
plok, klop, polk
tester, setter
koot, koto, toko
woud, douw
inlegeren, engelrein, inregelen
plak, klap
bezeildheid, bezieldheid
kranen, ranken, karnen
notarieel, rationeel
berin, brein
bedelnap, bepalend
etmaal, metaal
rating, girant, tranig
rebel, breel
havensleper, verhaspelen
droommachine, moordmachine
armoedig, ideogram
bosgordel, bergloods
gezinsbijstand, bijstandsgezin
koersdag, dagkoers
geschmier, schemerig
beeldtaal, taalbeeld
toer, roet
48-jarige, 84-jarige
nies, eins, sein
badderen, bedraden
romantisch, monarchist
verhelen, herleven
ribes, bries
subthema, bushmeat
basisolie, oliebasis
houtconstructie, constructiehout
ouder, odeur
rootsmuziek, muzieksoort
solied, solide
legerapparaat, regelapparaat
staalplaat, plaatstaal
neep, pene, peen
satire, striae
vleesafval, afvalvlees
hom, ohm
douwen, wouden
doelman, omladen
pronostiek, spooktrein
fiber, brief
opstaan, snotaap
penseel, leespen
stemverklaring, leveringsmarkt
in petto, top tien
kletteren, kenletter
spinhuis, huisspin
goldrush, drugshol
kachelhout, houtkachel
wijsneus, neuswijs
studiekop, kopstudie
gendarmerie, gemarineerd
kanthout, houtkant
mest, stem, smet
ondereind, eindronde
responsietijd, tijdresponsie
liedcultuur, leidcultuur
bestand, ebstand
led, del
beveiligingsbedrijf, bedrijfsbeveiliging
basfluit, stuifbal
galzuur, glazuur
gasbel, beslag
jaarboek, boekjaar
folderen, frondeel
installatiebouw, bouwinstallatie
epiek, kepie
werkmensen, mensenwerk
bark, krab, brak
gildeboek, gokbeleid
postauto, autostop
strofe, stroef
kloosterzuster, zusterklooster
boekgeschenk, geschenkboek
horlogearmband, armbandhorloge
wegvegen, weggeven
veerring, verering
hantering, haringnet
ontering, notering
klaas, slaak
feestcultuur, cultuurfeest
fusiegemeente, gemeentefusie
bult, blut
schijfrem, remschijf
bedrijfsmakelaar, makelaarsbedrijf
bestoven, bovenste
rode, orde
flik, klif
nipje, pijne
legerbasis, basisregel, sierbeslag
ontharing, harington
testeren, resetten
griener, gireren
boelijn, biljoen
looprek, lokroep, oorklep
taal, aalt, laat
interorganisationeel, interorganisationele
oneervol, veerloon
eigenaar-directeur, directeur-eigenaar
usb, bus, sub
kunstpodium, podiumkunst
gisteren, nesterig
welgeordend, godenwereld
doorvaren, ervandoor
farizees, farizese
keurling, kleuring
liturgiek, kluiterig
liane, alien
venen, neven
kwiek, wikke
molenspel, omspellen
materiaalafname, afnamemateriaal
daarnet, taander
machinebouw, bouwmachine
radiowekker, wekkerradio
razend, zander
gieter, getier
precies, recepis
61-jarige, 16-jarige
voerman, overman, omvaren
leer, reel
megaton, montage
vierledig, vierdelig
rechtssfeer, herfstreces
eindbedrag, randgebied
kamen, maken
versmoring, vermorsing
tabuleren, urentabel
resem, meers, smeer
perswereld, wereldpers
slagtand, gastland
staker, skater, krates
mintgroen, montering
lak, alk
brandklep, brandplek
etenstijd, steentijd
anglist, staling
werkveld, veldwerk
wonder, downer, worden
botrest, tobster
pruimer, primeur
tarwebrood, waterbrood, broodtarwe
cautie, auctie
geluidsbereik, dieselgebruik
betiteling, begintitel
lorkenboom, bloemkroon
85-jarig, 58-jarig
molk, klom
waterpeper, peperwater
kif, fik
misdeeld, edelsmid
ampersand, paardmens
debatpanel, paneldebat
vitsen, visnet
73-jarige, 37-jarige
stortzee, restzoet
sjanker, kransje
beheertaak, taakbeheer
hater, harte
est, set, tes, ets
obs, bos
muiteling, tuimeling
dijkwezen, denkwijze
beeldscherm, schermbeeld
ebstroom, trombose
temen, meent, meten
vormzand, zandvorm
aceton, coaten
dwarste, steward
badolie, oliebad
ontrieven, introeven
spronghoogte, hoogtesprong
periodeonderwijs, onderwijsperiode
vuurkruis, kruisvuur
grond, drong
werkkader, dakwerker, kaderwerk
opgeven, opvegen
doorbloed, bloedrood
hoofdlijst, hoofdstijl
contactouder, oudercontact
transportweg, wegtransport
drankwet, tandwerk
bandel, bladen
look, kool
bakstoel, obstakel
dribbel, bebrild
orgaandonor, donororgaan
bekoren, beroken, berkoen, broeken
knielen, kleinen
hoofddienst, diensthoofd
melkconsumptie, consumptiemelk
zeisen, seizen
veresteren, rentevrees
alia, laai
ards, dras
trekveer, verrekte
netbal, blaten
kennisregio, kennisgroei
binnenslepen, binnenspelen
jaareinde, eindejaar
beenhaar, heerbaan
wegdraaien, eenwaardig
houtspaan, spaanhout
prei, pier
megaohm, hommage
werkschuur, schuurwerk
overstorten, vertroosten
spoornet, proosten
rijsbeslag, ijsbergsla
langoer, organel
palmolie, lampolie, olielamp, oliepalm
burlen, brunel
elegant, gelaten
kroost, strook, koorts
vismaat, maatvis
rotanstok, kantsoort
kompaan, maankop
watertank, waterkant
amplitude, peildatum
doerak, rokade
vinkje, kijven
kletskous, okselstuk
mata, maat, aamt
buigsterkte, testgebruik
bediende, bedieden
groenbeeld, boerengeld, negerbloed
raadplaat, aardplaat
raapsteel, aalstreep, ereplaats
stokmaat, maatstok
serge, geers
protser, sporter, stroper, porster
blikconserven, conservenblik
familiecircus, circusfamilie
slagplaat, glasplaat
keukenbrand, benadrukken
bloei, oblie
bevloeren, bovenleer
leermateriaal, materiaalleer
duinzand, zandduin
stafkaart, taakstraf
lood, dool
vlaggenist, lastgeving, vliegangst, vastliggen
reactief, refactie, creatief
veen, even
wereldsport, sportwereld
importstroom, stroomimport
zeestuk, zeekust
projectlocatie, locatieproject
kloven, kolven
wereldcultuur, cultuurwereld
spuitnevel, nevelspuit
zielsangst, gezinslast
loken, onkel, kolen
38-jarige, 83-jarige
ringvinger, vingerring
rijven, nijver, vrijen
kater, karet, raket
18-jarige, 81-jarige
nominatie, antinomie
neuker, keuren
gemalin, maligne
alsmaar, marsala
ambulancehulp, hulpambulance
dienstlijn, lijndienst
snijbal, baslijn
overgang, voergang
etenswaar, weerstaan
tenware, wateren
antwoordmodel, modelantwoord
druiliger, druilerig
kits, kist, stik
rist, rits
legende, geleden
hitparade, apartheid
dierproefvrij, proefdiervrij
pilsbier, bilspier
reutelaar, leuteraar
lts, stl
knolbehandeling, handelingenblok
campagneactie, actiecampagne
hoestbui, boethuis
voetbalinterland, interlandvoetbal
gorsdijk, godsrijk
griek, gekir
houtzaag, zaaghout
marche, charme, macher
bolbloem, bloembol
kalenderdag, dagkalender
hiernaast, aanhitser
floers, solfer
computerspel, spelcomputer
briesje, ijsbeer
zesenzeventig, zevenenzestig
modelcontract, contractmodel
kunstwoord, woordkunst
kogelketting, kettingkogel
ontregeld, teelgrond
werkkracht, krachtwerk
accentkleur, kleuraccent
rekkelijken, kerkelijken
mat, tam
breekpen, bepreken, beperken
erboven, beroven
bijgedachte, jachtgebied
smikkel, miskelk
programmamuziek, muziekprogramma
poedersuiker, suikerpoeder
uitwieden, uitweiden
prestige, pesterig
opnamedag, dagopname
twisten, twinset
push, hups
ontlener, ontleren
controletraject, trajectcontrole
registratie, artiesterig
tol, lot, lto
gasaanleg, galgenaas
wisselprotest, protestwissel
57-jarige, 75-jarige
achtenzeventig, zevenentachtig
tarweprijs, waterprijs
voorleven, volvoeren
beton, boten
roma, amor, mora
kaplaars, pasklaar
versuikerd, drukversie
camerastatief, statiefcamera
jachtvogel, vogeljacht
burgul, bulgur
kabas, asbak, kasba
appeloogst, oogstappel
prachtkans, spankracht
filmrol, rolfilm
cijfercombinatie, combinatiecijfer
fats, staf
hondengebied, gebondenheid
spatel, telpas, stapel, pastel, slapte
buurt, bruut
steeldief, feestlied
blokkade, kladboek
haarmos, shoarma
trefkans, kernstaf
bijroepen, jopenbier
technisch-wetenschappelijk, wetenschappelijk-technisch
samen, mensa
schort, schrot
muzieksalon, salonmuziek
doembeeld, modebeeld
rietland, delirant
belastingkrediet, betalingskrediet
bezakt en bepakt, bepakt en bezakt
vagebond, voegband
pompgemaal, gemaalpomp
rijkseenheid, eenheidsrijk
inlevering, vernieling
congresprogramma, programmacongres
sober, boers, broes
welvaart, waterval
brugboog, boogbrug
achtenvijftig, vijfentachtig
earmarken, rekenraam
waterbad, badwater
omslepen, omspelen
reien, reine
lospraten, opstralen
spreien, spieren
onderst, dorsten, storend
gevoelsleven, levensgevoel
mestgebruik, stemgebruik
vaardigen, eindvraag
dob, bod
recordlaagte, laagterecord
walken, wankel
glasnet, slagnet
binder, bendir
waarzo, zowaar
pools, sloop, loops, ploos
toegefelijkheid, toegeeflijkheid
enterpremie, rentepremie
betalingskorting, belastingkorting
duikersteam, studiekamer
slaghamer, hamerslag
mekka, makke
vietnamees, vietnamese
waker, wrake
uitsturen, uitrusten
scholte, schotel
varkensoor, kroosvaren
neutel, leuten
saksen, kassen
achterklap, chaletpark
arty, tray
buikspek, spekbuik
arganolie, regionaal
reden, deren, neder, deern
heet, thee
temporeel, leertempo
tule, leut
klaren, kralen
